u,g,r,i,z,z_spec,u-g,g-r,r-i,i-z
24.370872497558594,22.82793426513672,22.58873748779297,23.061443328857425,23.82939147949219,0.43422931432724,1.542938232421875,0.23919677734375,-0.4727058410644567,-0.7679481506347656
24.35104560852051,23.51080703735352,23.284801483154297,23.95578765869141,23.974897384643555,0.9711425900459291,0.8402385711669922,0.2260055541992223,-0.6709861755371129,-0.019109725952144885
24.67383575439453,23.111528396606445,22.82081413269043,23.66486167907715,24.27676773071289,0.654042661190033,1.562307357788086,0.2907142639160156,-0.8440475463867188,-0.6119060516357422
25.39241981506348,22.61286163330078,22.40125846862793,23.541582107543945,24.395198822021484,0.8079658150672913,2.779558181762699,0.21160316467285156,-1.1403236389160156,-0.8536167144775391
24.863710403442386,23.16471099853516,23.26435661315918,23.56608772277832,24.2932186126709,0.6116998791694641,1.6989994049072266,-0.09964561462401988,-0.3017311096191406,-0.7271308898925781
24.165740966796875,23.488948822021484,23.130279541015625,23.72020530700684,23.95141410827637,1.2737053632736206,0.6767921447753906,0.3586692810058594,-0.5899257659912145,-0.23120880126953125
24.319318771362305,22.74929428100586,23.07985496520996,22.95317840576172,23.366050720214844,0.20324796438217166,1.5700244903564453,-0.33056068420410156,0.1266765594482422,-0.412872314453125
25.065996170043945,23.57659912109375,23.50771522521973,23.66696739196777,24.10728454589844,0.2006886899471283,1.4893970489501953,0.06888389587401988,-0.15925216674803977,-0.44031715393067117
24.965606689453125,21.62896728515625,21.24007225036621,22.61690902709961,23.5992431640625,0.7536733150482178,3.336639404296875,0.38889503479003906,-1.3768367767333984,-0.9823341369628906
23.72566032409668,23.2661075592041,22.896711349487305,23.472789764404297,23.52378273010254,1.3731814622879028,0.4595527648925781,0.3693962097167969,-0.5760784149169922,-0.05099296569824219
24.4512939453125,23.45535087585449,23.08767890930176,24.037038803100586,24.290178298950195,1.0301176309585571,0.9959430694580114,0.36767196655272727,-0.9493598937988246,-0.2531394958496094
24.605060577392575,21.68365478515625,21.231773376464844,22.56772232055664,23.65452766418457,0.6914017796516418,2.9214057922363246,0.45188140869140625,-1.3359489440917969,-1.0868053436279297
21.963645935058594,19.693269729614254,19.40034484863281,20.072969436645508,20.970327377319336,0.35372623801231384,2.2703762054443395,0.2929248809814453,-0.6726245880126989,-0.8973579406738281
22.66707992553711,19.05885505676269,18.764039993286133,19.58527374267578,20.831735610961914,0.2732881605625153,3.6082248687744176,0.29481506347655895,-0.8212337493896484,-1.2464618682861328
